3083	624
3083	96
1332	624
1332	96
3845	784
3845	1121
2934	597
3343	624
2996	597
285	624
285	96
285	357
75	216
75	499
1665	597
1572	597
2176	1110
1133	216
1133	499
2231	216
2231	499
3228	216
3228	499
1661	597
355	216
355	258
355	499
355	1182
3767	216
3767	499
3767	1182
1066	624
1066	357
1066	96
1070	499
1070	216
3443	216
3443	695
2164	216
2164	499
2164	1182
1076	1284
3722	216
1724	216
1724	258
1724	1182
272	1182
272	216
272	258
3674	624
3674	357
1759	524
1759	1121
1759	983
1346	1368
1346	983
1346	1017
3233	655
2823	265
2823	216
2823	258
2823	1182
2339	977
2339	344
237	991
354	1368
354	983
1452	1182
1452	216
1452	258
1202	1526
1202	991
1202	519
1202	1284
2586	216
2586	258
3174	1128
781	98
1591	321
590	265
590	216
590	258
3805	714
1042	752
1042	1274
2707	655
2707	216
2707	695
2711	225
2711	1059
2711	519
2390	688
2390	1128
2932	216
2932	695
2453	1368
2453	1017
2453	983
2179	688
2692	688
3849	178
2846	714
1352	225
1342	624
1342	96
1342	357
2796	258
2796	216
2796	695
1003	258
1003	1177
1003	655
1003	216
1003	519
1003	695
365	714
365	688
365	1504
1553	225
3231	1274
3231	752
3231	163
492	714
2076	1454
320	216
320	695
1136	98
1136	186
405	273
694	573
694	367
694	110
3143	628
3143	446
3143	1099
1002	216
1002	1182
1791	1274
1791	793
1791	1110
1791	752
1791	163
3329	337
1857	1398
1857	178
1857	216
1857	847
1857	258
273	178
2178	1274
2178	793
2178	98
2178	752
2178	163
103	524
103	27
103	682
41	1274
41	367
41	110
41	163
1754	1368
1754	524
1754	1017
1754	898
3517	1073
3517	98
3517	225
1721	337
3656	991
3656	337
1948	1368
1948	788
1482	1368
2350	905
2350	211
535	117
1841	755
1841	294
1841	216
1841	695
1841	847
1771	103
1771	44
1771	87
1771	814
3199	624
3199	357
2851	1274
2851	367
2851	1082
2851	110
2851	755
3741	1526
1695	983
1626	718
1825	1099
1825	367
1825	573
1825	793
1825	337
1825	446
581	363
581	1454
581	1119
581	41
1650	1506
1650	294
1650	216
1650	847
885	186
885	225
3225	793
3225	755
886	194
886	214
886	416
1409	532
1409	1454
1409	1119
1409	363
3581	211
3581	1398
3581	87
3581	814
3581	1526
1254	360
1254	103
3593	644
3593	655
3593	332
1897	163
1897	344
1897	360
1897	752
1438	216
1438	1376
549	367
549	1504
549	1274
3499	793
486	1099
486	367
486	216
486	847
486	258
2541	524
2541	98
2541	509
2541	1082
2541	788
1617	117
1617	363
3093	644
3093	537
3093	98
3093	186
3093	1361
1839	905
1839	1293
254	509
